v1_comment_number	v2_comment_number(s)	mapping_status	v1_checklist_item_id	v2_checklist_item_id
142	147	equal	cc-20:CC-20-03	cc-20:CC-20-03
143	148	equal	cc-20:CC-20-20	cc-20:CC-20-20
144	149	equal	cc-20:CC-20-21	cc-20:CC-20-21
145	150	equal	cc-20:CC-20-22	cc-20:CC-20-22
146	151	equal	cc-20:CC-20-25	cc-20:CC-20-25
147	152	equal	cc-22:CC-22-08	cc-22:CC-22-08
148	153	equal	cc-22:CC-22-12	cc-22:CC-22-12
149	154	equal	cc-22:CC-22-13	cc-22:CC-22-13
150	155	equal	cc-22:CC-22-14	cc-22:CC-22-14
151	156	equal	cc-22:CC-22-15	cc-22:CC-22-15
152	157	equal	cc-22:CC-22-17	cc-22:CC-22-17
153	158	equal	cc-22:CC-22-18	cc-22:CC-22-18
154	159	equal	cc-22:CC-22-19	cc-22:CC-22-19
155	160	equal	cc-22:CC-22-20	cc-22:CC-22-20
156	161	equal	cc-22:CC-22-21	cc-22:CC-22-21
157	162	equal	cc-22:CC-22-25	cc-22:CC-22-25
158	163	equal	cc-22:CC-22-27	cc-22:CC-22-27
159	164	equal	cc-22:OSP-01	cc-22:OSP-01
160	165	equal	cc-22:OSP-02	cc-22:OSP-02
161	166	equal	cc-23:CC-23-01	cc-23:CC-23-01
162	167	equal	cc-23:CC-23-02	cc-23:CC-23-02
163	168	equal	cc-23:CC-23-03	cc-23:CC-23-03
164	169	equal	cc-23:CC-23-04	cc-23:CC-23-04
165	170	equal	cc-23:CC-23-05	cc-23:CC-23-05
166	171	equal	cc-23:CC-23-06	cc-23:CC-23-06
167	172	equal	cc-23:CC-23-07	cc-23:CC-23-07
168	173	equal	cc-23:CC-23-08	cc-23:CC-23-08
169	174	equal	cc-23:CC-23-09	cc-23:CC-23-09
170	175	equal	cc-23:CC-23-10	cc-23:CC-23-10
171	176	equal	cc-23:CC-23-11	cc-23:CC-23-11
172	177	equal	cc-24:CC-24-01	cc-24:CC-24-01
173	178	equal	cc-24:CC-24-02	cc-24:CC-24-02
174	179	equal	cc-24:CC-24-03	cc-24:CC-24-03
175	180	equal	cc-24:CC-24-04	cc-24:CC-24-04
176	181	equal	cc-24:CC-24-05	cc-24:CC-24-05
177	182	equal	cc-24:CC-24-06	cc-24:CC-24-06
178	183	equal	cc-24:CC-24-13	cc-24:CC-24-13
179	184	equal	cc-24:CC-24-15	cc-24:CC-24-15
180	185	equal	cc-24:CC-24-16	cc-24:CC-24-16
34	34	equal	cc-2:CC-2-02	cc-2:CC-2-02
35	35	equal	cc-2:CC-2-14	cc-2:CC-2-14
36	36	equal	cc-2:CC-2-16	cc-2:CC-2-16
37	37	equal	cc-2:CC-2-21	cc-2:CC-2-21
38	38	equal	cc-2:CC-2-23	cc-2:CC-2-23
50	50	equal	cc-3:AF-01	cc-3:AF-01
39	39	equal	cc-3:CC-3-14	cc-3:CC-3-14
40	40	equal	cc-3:CC-3-17	cc-3:CC-3-17
41	41	equal	cc-3:CC-3-18	cc-3:CC-3-18
42	42	equal	cc-3:CC-3-19	cc-3:CC-3-19
43	43	equal	cc-3:CC-3-21	cc-3:CC-3-21
44	44	equal	cc-3:CC-3-22	cc-3:CC-3-22
45	45	equal	cc-3:CC-3-23	cc-3:CC-3-23
46	46	equal	cc-3:CC-3-24	cc-3:CC-3-24
47	47	equal	cc-3:CC-3-25	cc-3:CC-3-25
48	48	equal	cc-3:CC-3-26	cc-3:CC-3-26
49	49	equal	cc-3:CC-3-27	cc-3:CC-3-27
51	51	equal	cc-5:ADR-01	cc-5:ADR-01
52	52	equal	cc-5:ADR-04	cc-5:ADR-04
53	53	equal	cc-5:ADR-05	cc-5:ADR-05
54	54	equal	cc-5:ADR-07	cc-5:ADR-07
55	55	equal	cc-5:ADR-08	cc-5:ADR-08
56	56	equal	cc-5:DAT-01	cc-5:DAT-01
57	57	equal	cc-5:DAT-02	cc-5:DAT-02
58	58	equal	cc-5:DAT-03	cc-5:DAT-03
59	59	equal	cc-5:DAT-04	cc-5:DAT-04
60	60	equal	cc-5:DAT-05	cc-5:DAT-05
61	61	equal	cc-5:DAT-06	cc-5:DAT-06
62	62	equal	cc-5:DAT-07	cc-5:DAT-07
63	63	equal	cc-5:HCR-01	cc-5:HCR-01
64	64	equal	cc-5:HCR-02	cc-5:HCR-02
65	65	equal	cc-6:CMP-01	cc-6:CMP-01
66	66	equal	cc-6:CMP-02	cc-6:CMP-02
67	67	equal	cc-6:CMP-03	cc-6:CMP-03
