item_id	run_index	run_label	tool_called	call_count	notes
cc-13:AW-25	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-27	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-27	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-27	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-28	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-28	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-28	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-29	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-29	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-29	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-30	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-30	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-30	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-31	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-31	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-31	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-32	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-32	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-32	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-33	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-33	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-33	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-36	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-36	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-36	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-37	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-37	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-37	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-38a	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-38a	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
